URI_Name,Provincia,Canton,Parroquia,Latitud,Longitud,Nombre,Direccion,Tipo,Regimen Escolar
COLEGIODEBACHILLERATO2DEAGOSTO,Loja_Province,ESPINDOLA,ELAIRO,-4,471945949890,-79,386668819200,COLEGIO DE BACHILLERATO  2 DE AGOSTO,   BARRIO LA HUACA
COLEGIODEBACHILLERATOAGUSTINCURIPOMA,Loja_Province,LOJA,GUALEL,-3,770003862500,-79,379971896200,COLEGIO DE BACHILLERATO  AGUSTIN CURIPOMA,   PARROQUIA GUALEL
COLEGIODEBACHILLERATOLATINGUE,Loja_Province,OLMEDO,LATINGUE,-3,910695867130,-79,582107878900,COLEGIO DE BACHILLERATO  LA TINGUE,   PARROQUIA LA TINGUE
COLEGIODEBACHILLERATOLICMIGUELANTOLIANOSALINASJARAMILLO,Loja_Province,QUILANGA,SANANTONIODELASARADAS,-4,364194784370,-79,398694738700,COLEGIO DE BACHILLERATO  LIC  MIGUEL ANTOLIANO SALINAS JARAMILLO,   PROLONGACION DE LA ESCALINATA DEL PARQUE CENTRAL
COLEGIODEBACHILLERATOPIOJARAMILLOALVARADO,Loja_Province,LOJA,SANSEBASTIAN,-4,3418747970,-79,202045971500,COLEGIO DE BACHILLERATO  PIO JARAMILLO ALVARADO,BOLIVAR 1479 CATACOCHA Y LOURDES 
COLEGIODEBACHILLERATOQUILANGA,Loja_Province,QUILANGA,QUILANGA,-4,294694892540,-79,401912704800,COLEGIO DE BACHILLERATO  QUILANGA,   BARRIO SANN ROQUE
COLEGIODEBACHILLERATO12DEDICIEMBRE,Loja_Province,CELICA,CELICA,-4,104940523070,-79,953472429000,COLEGIO DE BACHILLERATO 12 DE DICIEMBRE,CALLE COLON VIA A GUACHAMA 300 CALLE LOJA 
COLEGIODEBACHILLERATO14DEOCTUBRE,Loja_Province,CALVAS,ELLUCERO,-4,400078925150,-79,463218443700,COLEGIO DE BACHILLERATO 14 DE OCTUBRE,   AVENIDA ESPINDOLA  PARROQUIA EL LUCERO
COLEGIODEBACHILLERATO18DENOVIEMBRE,Loja_Province,SOZORANGA,SOZORANGA,-4,327111640320,-79,789751354400,COLEGIO DE BACHILLERATO 18 DE NOVIEMBRE,   BARRIO SAN VICENTE
COLEGIODEBACHILLERATO27DEFEBRERO,Loja_Province,LOJA,SANSEBASTIAN,-4,14502600020,-79,205164246900,COLEGIO DE BACHILLERATO 27 DE FEBRERO,PABLO PALACIO 21-51 JHON F  KENNEDY 
COLEGIODEBACHILLERATO30DESEPTIEMBRE,Loja_Province,GONZANAMA,PURUNUMA(EGUIGUREN),-4,210332743210,-79,372803646400,COLEGIO DE BACHILLERATO 30 DE SEPTIEMBRE,   TRECE DE SEPTIEMBRE
COLEGIODEBACHILLERATO8DEDICIEMBRE,Loja_Province,CATAMAYO,SANPEDRODELABENDITA,-3,944030198130,-79,435001710400,COLEGIO DE BACHILLERATO 8 DE DICIEMBRE,   LOCALIDAD SAN PEDRO DE LA BENDITA
COLEGIODEBACHILLERATOABDONCALDERONMUnOZ,Loja_Province,LOJA,SANTIAGO,-3,790059873590,-79,285336326200,COLEGIO DE BACHILLERATO ABDON CALDERON MU�OZ,   AVENIDA AMADEO AGUIRRE
COLEGIODEBACHILLERATOADOLFOVALAREZO,Loja_Province,LOJA,SUCRE,-3,993026503360,-79,209163824400,COLEGIO DE BACHILLERATO ADOLFO VALAREZO,CARLOS ROMAN HINOSTROZA  ADOLFO VALAREZO Y  MANUEL CARRION PINZANO 
COLEGIODEBACHILLERATOBALBINAMORENO,Loja_Province,GONZANAMA,GONZANAMA,-4,229190570490,-79,435529619400,COLEGIO DE BACHILLERATO BALBINA MORENO,24 DE MAYO  CALLE BOLIVAR 
COLEGIODEBACHILLERATOBEATRIZCUEVADEAYORA,Loja_Province,LOJA,ELSAGRARIO,-3,996337201380,-79,197334273800,COLEGIO DE BACHILLERATO BEATRIZ CUEVA DE AYORA,ORILLAS DEL ZAMORA 07-90 10 DE AGOSTO 
COLEGIODEBACHILLERATOCARLOSGARBAYMONTESDEOCA,Loja_Province,PUYANGO,MERCADILLO,-4,23968316620,-79,976194265700,COLEGIO DE BACHILLERATO CARLOS GARBAY MONTESDEOCA,   PARROQUIA MERCADILLO - VIA SAN JOSE
COLEGIODEBACHILLERATOCHAGUARPAMBA,Loja_Province,CHAGUARPAMBA,CHAGUARPAMBA,-3,847751497550,-79,679279685800,COLEGIO DE BACHILLERATO CHAGUARPAMBA,   BARRIO LA UNION
